,Mood,Mood1,Mood2,Exercise,Stress,Social,Sleep
u00,10,11,15,37,74,44,55
u01,2,2,2,7,32,18,27
u02,1,2,4,12,30,20,26
u03,1,2,3,8,29,20,28
u04,4,1,7,12,43,27,34
u05,0,0,0,0,8,6,6
u07,1,2,0,13,53,24,24
u08,9,8,7,31,90,43,41
u09,0,0,0,0,3,1,3
u10,9,4,11,20,106,30,47
u12,1,3,3,9,30,18,26
u13,0,0,0,0,0,0,1
u14,1,4,1,8,37,26,30
u15,0,0,0,5,10,10,19
u16,21,23,36,38,107,40,65
u17,10,11,11,21,42,31,40
u18,1,1,4,10,16,22,33
u19,24,21,24,44,91,39,55
u20,0,0,0,3,10,7,12
u22,4,2,6,20,55,29,20
u23,1,1,1,17,44,32,23
u24,2,2,2,9,39,25,23
u25,0,0,0,5,20,14,15
u27,3,2,4,11,25,16,16
u30,1,1,0,6,30,17,34
u31,0,0,0,8,12,9,11
u32,3,3,3,25,66,28,47
u33,7,12,15,34,58,32,41
u34,0,0,1,3,6,5,7
u35,2,4,12,10,39,22,25
u36,5,6,16,24,57,32,32
u39,0,1,0,9,10,11,10
u41,0,1,2,1,11,7,14
u42,4,7,13,11,29,15,14
u43,1,6,2,34,77,44,25
u44,4,7,7,44,87,58,58
u45,1,1,8,7,28,15,11
u46,2,5,4,13,33,17,23
u47,2,2,7,9,13,17,9
u49,17,10,18,25,61,33,41
u50,1,0,0,5,4,7,6
u51,8,8,12,21,44,33,34
u52,2,4,3,10,41,13,23
u53,3,8,12,21,38,31,31
u54,0,3,0,2,20,11,12
u56,3,2,6,3,19,12,21
u57,6,13,19,32,67,36,61
u58,17,15,18,30,55,43,58
u59,83,49,98,36,269,79,73
