User ID,Mood,Mood1,Mood2,Exercise,Stress,Social,Sleep
59,83,49,100,36,269,79,73
19,24,21,24,44,96,44,61
16,21,23,36,38,112,45,70
49,17,10,18,25,66,38,46
58,17,15,18,30,55,43,58
00,10,11,15,37,79,49,63
17,10,11,11,21,47,36,46
10,9,4,13,20,112,34,53
08,9,8,8,31,95,48,46
51,8,8,12,21,49,38,39
33,7,12,15,34,63,37,46
57,6,13,19,32,67,36,61
36,5,6,16,24,62,37,37
04,4,1,7,12,47,31,38
42,4,7,13,11,38,24,25
44,4,7,7,44,92,62,63
22,4,2,7,20,61,35,25
32,3,3,3,25,73,36,52
53,3,8,12,21,43,36,36
56,3,2,6,3,25,18,27
27,3,2,4,11,30,21,20
01,2,2,3,7,36,23,32
52,2,4,3,10,47,19,29
24,2,2,2,9,48,34,35
35,2,4,12,10,44,27,30
46,2,5,4,13,38,22,29
47,2,2,7,9,18,21,14
07,1,2,1,13,59,28,29
02,1,2,4,12,35,25,31
03,1,2,3,8,34,25,33
30,1,1,1,6,35,21,40
23,1,1,1,17,49,37,29
14,1,4,1,8,41,32,35
18,1,1,4,10,20,27,39
12,1,3,3,9,35,23,32
43,1,6,2,34,82,49,30
45,1,1,8,7,33,20,16
50,1,0,0,5,9,12,11
54,0,3,0,2,25,16,18
39,0,1,0,9,15,16,14
41,0,1,2,1,15,11,18
34,0,0,1,3,11,11,12
31,0,0,0,8,17,14,16
15,0,0,0,5,16,15,24
25,0,0,0,5,25,19,20
20,0,0,0,3,15,13,17
05,0,0,0,0,13,11,12
09,0,0,0,0,8,6,8
13,0,0,0,0,4,6,6
